artist,title,album,recordLabel,sequence,programTitle,episodeTitle,episodeTimestamp
Erykah Badu,On & On,,Kedar Music/Universal Music,25,Gilles Peterson,"Joining The Musical Dots: Erykah Badu, Jeff Parker",2022-11-12T15:00:00+00:00
Paris Rabone,Marrow,,,26,Gilles Peterson,"Joining The Musical Dots: Erykah Badu, Jeff Parker",2022-11-12T15:00:00+00:00
SAULT,Love Will Free Your Mind,,Forever Living Originals,27,Gilles Peterson,"Joining The Musical Dots: Erykah Badu, Jeff Parker",2022-11-12T15:00:00+00:00
Muva Of Earth,High,,Brownswood Recordings,28,Gilles Peterson,"Joining The Musical Dots: Erykah Badu, Jeff Parker",2022-11-12T15:00:00+00:00
Erykah Badu,Cain't Use My Phone,,Motown,29,Gilles Peterson,"Joining The Musical Dots: Erykah Badu, Jeff Parker",2022-11-12T15:00:00+00:00
Erykah Badu,Appletree,,Kedar Music/Universal Music,30,Gilles Peterson,"Joining The Musical Dots: Erykah Badu, Jeff Parker",2022-11-12T15:00:00+00:00
Javon Crawford,Success,,Backatcha Records,31,Gilles Peterson,"Joining The Musical Dots: Erykah Badu, Jeff Parker",2022-11-12T15:00:00+00:00
Fabian Miranda,Destiny,,Fox,0,Gilles Peterson,Joining The Musical Dots: Saul Williams,2022-11-05T15:00:00+00:00
Fabian Miranda,Destiny (Dub),,,1,Gilles Peterson,Joining The Musical Dots: Saul Williams,2022-11-05T15:00:00+00:00
SAULT,God Is In Control,,,2,Gilles Peterson,Joining The Musical Dots: Saul Williams,2022-11-05T15:00:00+00:00
McKoy,Love Me Tonight,,,3,Gilles Peterson,Joining The Musical Dots: Saul Williams,2022-11-05T15:00:00+00:00
McKoy,Family,,Right Track Records,4,Gilles Peterson,Joining The Musical Dots: Saul Williams,2022-11-05T15:00:00+00:00
SnowboyNoel McKoy,Lucky Fellow,,Acid Jazz,5,Gilles Peterson,Joining The Musical Dots: Saul Williams,2022-11-05T15:00:00+00:00
Ski OakenfullNoel McKoy,Let Me Be (Live at BBC Maida Vale),,,6,Gilles Peterson,Joining The Musical Dots: Saul Williams,2022-11-05T15:00:00+00:00
Dave LeeOmar,Starlight (Grant Nelson Remix),,Z Records,7,Gilles Peterson,Joining The Musical Dots: Saul Williams,2022-11-05T15:00:00+00:00
Voltage Brothers,Happening In The Streets (Domo Rework),,Lifesong,8,Gilles Peterson,Joining The Musical Dots: Saul Williams,2022-11-05T15:00:00+00:00
Donald Byrd,"Black Byrd (Live at Montreux, 1973)",,Blue Note,9,Gilles Peterson,Joining The Musical Dots: Saul Williams,2022-11-05T15:00:00+00:00
